"","ds","Month","Temp","ID","mass","mass_prev","SGR","SGR_2m","SMR","SMR_mass","SMR_resid","SMR_prev","SMR_mass_prev","MMR","MMR_mass","MMR_prev","MMR_mass_prev","Ratio","Ratio_linear","log_SMR","log_MMR","log_mass"
"37","B1","May","18","B1_10",1.33,1.11,NA,1.23703063905571,0.250793024,NA,-0.018283118,0.138933606,NA,1.026016125,NA,0.542556132,NA,NA,NA,-0.600684547906876,0.0111541862567822,0.123851640967086
"38","B1","June","18","B1_10",2.01,1.33,1.720649083,0.807116292398316,0.497081937,NA,0.138872127,0.250793024,NA,1.399424972,NA,1.026016125,NA,NA,NA,-0.303572017999112,0.145949619401074,0.303196057420489
"39","B1","July","18","B1_10",2.09,2.01,0.1219667,-0.16278396882341,0.258812533,NA,-0.157798218,0.497081937,NA,1.307762341,NA,1.399424972,NA,76.9120993609544,73.7394777,-0.587014696778644,0.116528827038539,0.320146286111054
"40","B1","August","18","B1_10",1.82,2.09,-0.476991603,0.223548833277833,0.249775312,NA,-0.126352598,0.258812533,NA,1.187527566,NA,1.307762341,NA,64.0935673,64.0935673,-0.602450489869132,0.0746436996634197,0.260071387985075
"41","B1","September","18","B1_10",2.39,1.82,0.878893112,NA,0.399607068,NA,-0.014608913,0.249775312,NA,1.295747826,NA,1.187527566,NA,NA,NA,-0.39836683884883,0.11252048885481,0.378397900948138
"42","B1","May","18","B1_11",2.92,2.42,NA,0.689885842074324,0.541017977,NA,0.049088069,0.330967126,NA,2.138622,NA,1.481868753,NA,NA,NA,-0.266788303872749,0.330134030096922,0.465382851448418
"43","B1","June","18","B1_11",3.37,2.92,0.5972047,0.266511259128873,0.685580197,NA,0.103358115,0.541017977,NA,1.735749784,NA,2.138622,NA,NA,NA,-0.163941735509938,0.239487119884164,0.527629900871339
"44","B1","July","18","B1_11",3.39,3.37,0.018491178,-0.46352239890791,0.50255306,NA,-0.033523653,0.685580197,NA,2.003448312,NA,1.735749784,NA,77.1370878609544,65.6060186374998,-0.298818078288207,0.30177814232512,0.530199698203082
"45","B1","August","18","B1_11",2.54,3.39,-0.99539945,0.254809429201119,0.337477319,NA,-0.108627539,0.50255306,NA,1.670903778,NA,2.003448312,NA,67.5027263,67.5027263,-0.471755409689671,0.222951440984443,0.404833716619938
"46","B1","September","18","B1_11",3.95,2.54,1.424359671,NA,0.629811715,NA,0.012689778,0.337477319,NA,2.472217578,NA,1.670903778,NA,NA,NA,-0.20078926540075,0.393086690027837,0.59659709562646
"47","B1","May","18","B1_12",2.26,1.36,NA,1.49699353351107,0.340078123,NA,-0.065708303,0.17843299,NA,1.450634074,NA,0.806780601,NA,NA,NA,-0.468421305044557,0.161557874405459,0.354108439147401
"48","B1","June","18","B1_12",2.79,2.26,0.877819927,0.558582638616892,0.324108213,NA,-0.157998676,0.340078123,NA,1.462599624,NA,1.450634074,NA,NA,NA,-0.48930996367502,0.165125457441335,0.445604203273598
"49","B1","July","18","B1_12",3.09,2.79,0.319154672,0.188510506096373,0.346539673,NA,-0.163549061,0.324108213,NA,1.876166158,NA,1.462599624,NA,80.8892304609544,81.5787812750004,-0.460247038747173,0.273271297959372,0.489958479424835
"50","B1","August","18","B1_12",3.13,3.09,0.044351426,1.14442275208233,0.44224995,NA,-0.061993338,0.346539673,NA,1.640630069,NA,1.876166158,NA,66.5993946,66.5993946,-0.354332207518805,0.215010666913298,0.495544337546448
"51","B1","September","18","B1_12",6.14,3.13,2.173521734,NA,0.892613483,NA,0.014643572,0.44224995,NA,2.596518688,NA,1.640630069,NA,NA,NA,-0.049336557392112,0.414391452702718,0.788168371141168
"52","B1","May","18","B1_13",1.28,0.85,NA,1.72989229598631,0.252168131,NA,-0.002921498,0.142181424,NA,0.909997691,NA,0.53444326,NA,NA,NA,-0.59830980041714,-0.0409597096428964,0.107209969647868
"53","B1","June","18","B1_13",1.95,1.28,1.754038728,1.07730509185372,0.427195683,NA,0.083341966,0.252168131,NA,0.946077342,NA,0.909997691,NA,NA,NA,-0.369373144693806,-0.0240733584916321,0.290034611362518
"54","B1","July","18","B1_13",2.34,1.95,0.569754865,-0.0951865589422314,0.263715258,NA,-0.187941309,0.427195683,NA,1.102557821,NA,0.946077342,NA,82.5649324609544,86.9106352500021,-0.578864742131084,0.0424013742693769,0.369215857410143
"55","B1","August","18","B1_13",1.84,2.34,-0.828915027,0.31097659263402,0.354012275,NA,0.021412177,0.263715258,NA,1.264311684,NA,1.102557821,NA,66.8822768,66.8822768,-0.450981679012795,0.101854151442262,0.264817823009536
