Resp_Day,ID_fish,chamber_ch,Temp_class,RMR,RMR_var,RMR_perc,time_start,time_end,mass,length,volume_net,SMR,MMR,log_mass,Month,resid,SMR_mass,SMR_resid,RMR_mass,RMR_resid,MMR_mass,MMR_resid,Rack,Bin,TagID,Final_Mass_g,Final_Length_mm,Gonad_mass_g,Sex,Fat_mass_g,Ventricle_mass_g,Otolith_age_y,mass_prev,SGR,Period_start,Period_end,SMR_prev,SMR_mass_prev,RMR_prev,RMR_mass_prev,MMR_prev,MMR_mass_prev,Overall_SGR,SGR_predict,SGR_resid,time,Month_int,GutRatio_1,GutRatio_2,Location,Density_tagged,Density,Density_diff
2,105,C3,18,0.320178502,NA,NA,28/04/2023 16:37,29/04/2023 11:17,1.42,67,708.58,0.193418535,0.799870318,0.152288344,April,NA,0.479886114,NA,0.602428443,NA,1.602233665,NA,3,9,YL,10.54,117,0.004,I,0.888,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,106,C1,18,0.234298663,NA,NA,28/04/2023 16:37,29/04/2023 11:17,0.97,66,709.03,0.173641263,0.574605627,-0.013228266,April,NA,0.561343781,NA,0.718146862,NA,1.563783158,NA,3,9,YR,3.92,91,0.018,I,0.215,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,107,D3,18,0.536400096,NA,NA,28/04/2023 16:37,29/04/2023 11:17,1.88,78,708.12,0.277109441,0.996843353,0.274157849,April,NA,0.505360488,NA,0.674631257,NA,1.027404025,NA,3,9,BrL,5.998,103,0.006,I,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,108,D2,18,0.319243557,NA,NA,28/04/2023 16:37,29/04/2023 11:17,1.07,66,708.93,0.089344035,0.902378779,0.029383778,April,NA,0.373245387,NA,0.449538639,NA,0.803445371,NA,3,9,BrR,1.811,73,0.001,I,0.021,0.001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,109,C4,18,0.314341253,NA,NA,28/04/2023 16:37,29/04/2023 11:17,1.72,73,708.28,0.206194292,1.313351164,0.235528447,April,NA,0.456204726,NA,0.593600279,NA,1.66176562,NA,3,9,RL,7.28,108,0.043,M,0.383,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,110,C2,18,0.209497521,NA,NA,28/04/2023 16:37,29/04/2023 11:17,0.79,64,709.21,0.134395266,0.578985181,-0.102372909,April,NA,0.476250725,NA,0.660861202,NA,1.159984254,NA,3,9,RR,1.32,67,0.01,I,0.009,0.001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,111,D1,18,0.235511032,NA,NA,28/04/2023 16:37,29/04/2023 11:17,0.76,60,709.24,0.044430082,0.681185189,-0.119186408,April,NA,0.671065081,NA,0.72239426,NA,1.608635707,NA,3,9,BL,5.39,99,0.035,I,0.301,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,114,B3,18,0.50834382,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.76,72,708.24,0.236951025,1.176275021,0.245512668,April,NA,0.467104128,NA,0.623830147,NA,1.206396183,NA,3,10,YR,3.385,85,0.024,F,0.105,0.001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,115,A1,18,0.380731751,NA,NA,29/04/2023 14:09,30/04/2023 9:02,2.44,80,707.56,0.199323291,1.452234009,0.387389826,April,NA,0.552340166,NA,0.669520993,NA,1.468276998,NA,3,10,BrL,5.99,99,0.042,M,0.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,116,A4,18,0.411597755,NA,NA,29/04/2023 14:09,30/04/2023 9:02,2.05,80,707.95,0.179120965,0.840966933,0.311753861,April,NA,0.412308582,NA,0.593966708,NA,1.252516255,NA,3,10,BrR,6.99,104,0.227,F,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,117,B1,18,0.265555091,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.53,70,708.47,0.11147901,0.985746077,0.184691431,April,NA,0.562054085,NA,0.88529811,NA,1.482105582,NA,3,10,RL,3.109,85,0.012,M,0.129,0.006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
